Ref,Val,Package,PosX,PosY,Rot,Side
"U103","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",109.000000,-64.000000,0.000000,top
"U104","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",113.000000,-66.000000,0.000000,top
"U105","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",111.000000,-66.000000,0.000000,top
"U106","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",109.000000,-66.000000,0.000000,top
"U107","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",113.000000,-68.000000,0.000000,top
"U108","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",111.000000,-68.000000,0.000000,top
"U109","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",109.000000,-68.000000,0.000000,top
"U110","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",115.000000,-52.000000,0.000000,top
"U111","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",115.000000,-54.000000,0.000000,top
"U112","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",115.000000,-56.000000,0.000000,top
"U113","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",115.000000,-58.000000,0.000000,top
"U114","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",115.000000,-60.000000,0.000000,top
"U115","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",115.000000,-62.000000,0.000000,top
"U116","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",115.000000,-64.000000,0.000000,top
"U117","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",115.000000,-66.000000,0.000000,top
"U118","XL-B1010RGBT-HF","LED-SMD_4P-L1.0-W1.0-TR_1",115.000000,-68.000000,0.000000,top
